Registration Number,Course Code,Batch,Semester,Faculty ID
1031310002,15BT101 - 2 - Biology for Engineers,1,3,300171 - S.Hepziba Suganthi
1031310002,15BT101 - 2 - Biology for Engineers,1,3,300393 - Priscilla Mercy Anitha
1031310002,15BT101 - 2 - Biology for Engineers,1,3,300393 - Priscilla Mercy Anitha
1031310002,15CE101 - 2 - Basic Civil Engineering,1,3,102150 - Mr.A.Edwin
1031310003,15CE101 - 2 - Basic Civil Engineering,1,3,102150 - Mr.A.Edwin
1031310003,15CE101 - 2 - Basic Civil Engineering,1,3,102150 - Mr.A.Edwin
1031310003,15CS201J - 4 - Data Structures,1,3,100507 - SARAVANAN
1031310003,15CS201J - 4 - Data Structures,1,3,100507 - SARAVANAN
1031310003,15CS201J - 4 - Data Structures,1,3,100507 - SARAVANAN
1031310004,15CS201J - 4 - Data Structures,1,3,100507 - SARAVANAN
1031310004,15CS201J - 4 - Data Structures,1,3,100507 - SARAVANAN
1031310004,15CS201J - 4 - Data Structures,1,3,100507 - SARAVANAN
1031310004,15CS201J - 4 - Data Structures,1,3,100507 - SARAVANAN
1031310004,15CS201J - 4 - Data Structures,1,3,100507 - SARAVANAN
1031310005,15CS201J - 4 - Data Structures,1,3,100507 - SARAVANAN
1031310005,15CS201J - 4 - Data Structures,1,3,100507 - SARAVANAN
1031310005,15CS201J - 4 - Data Structures,1,3,100507 - SARAVANAN
1031310005,15CS201J - 4 - Data Structures,1,3,100507 - SARAVANAN
1031310005,15CS201J - 4 - Data Structures,1,3,100507 - SARAVANAN
1031310006,15CS201J - 4 - Data Structures,1,3,100507 - SARAVANAN
1031310006,15CS201J - 4 - Data Structures,1,3,100507 - SARAVANAN
1031310006,15CS201J - 4 - Data Structures,1,3,100507 - SARAVANAN
1031310006,15CS201J - 4 - Data Structures,1,3,100507 - SARAVANAN
1031310006,15CS201J - 4 - Data Structures,1,3,100507 - SARAVANAN
1031310007,15CS201J - 4 - Data Structures,1,3,100507 - SARAVANAN
1031310007,15CS201J - 4 - Data Structures,1,3,100507 - SARAVANAN
1031310007,15CS201J - 4 - Data Structures,1,3,100507 - SARAVANAN
